index,Year,Gender,Race,Director(s),Film,Nomination/Winner
236,1976,Male,White,Ingmar Bergman,Face to Face,Nomination
237,1976,Male,White,Sidney Lumet,Network,Nomination
238,1976,Male,White,Alan J. Pakula,All the President's Men,Nomination
239,1976,Female,White,Lina Wertmüller,Seven Beauties,Nomination
240,1977,Male,White,Woody Allen,Annie Hall,Winner
241,1977,Male,White,George Lucas,Star Wars,Nomination
242,1977,Male,White,Herbert Ross,The Turning Point,Nomination
243,1977,Male,White,Steven Spielberg,Close Encounters of the Third Kind,Nomination
244,1977,Male,White,Fred Zinnemann,Julia,Nomination
245,1978,Male,White,Michael Cimino,The Deer Hunter,Winner
246,1978,Male,White,Woody Allen,Interiors,Nomination
247,1978,Male,White,Hal Ashby,Coming Home,Nomination
248,1978,Male,White,Warren Beatty & Buck Henry,Heaven Can Wait,Nomination
249,1978,Male,White,Alan Parker,Midnight Express,Nomination
250,1979,Male,White,Robert Benton,Kramer vs. Kramer,Winner
251,1979,Male,White,Francis Ford Coppola,Apocalypse Now,Nomination
252,1979,Male,White,Bob Fosse,All That Jazz,Nomination
253,1979,Male,White,Édouard Molinaro,La Cage aux Folles,Nomination
254,1979,Male,White,Peter Yates,Breaking Away,Nomination
255,1980,Male,White,Robert Redford,Ordinary People,Winner
256,1980,Male,White,David Lynch,The Elephant Man,Nomination
257,1980,Male,White,Roman Polanski,Tess,Nomination
258,1980,Male,White,Richard Rush,The Stunt Man,Nomination
259,1980,Male,White,Martin Scorsese,Raging Bull,Nomination
260,1981,Male,White,Warren Beatty,Reds,Winner
261,1981,Male,White,Hugh Hudson,Chariots of Fire,Nomination
262,1981,Male,White,Louis Malle,Atlantic City,Nomination
263,1981,Male,White,Mark Rydell,On Golden Pond,Nomination
264,1981,Male,White,Steven Spielberg,Raiders of the Lost Ark,Nomination
265,1982,Male,White,Richard Attenborough,Gandhi,Winner
266,1982,Male,White,Sidney Lumet,The Verdict,Nomination
267,1982,Male,White,Wolfgang Petersen,Das Boot,Nomination
268,1982,Male,White,Sydney Pollack,Tootsie,Nomination
269,1982,Male,White,Steven Spielberg,E.T. the Extra-Terrestrial,Nomination
